List of Changed Files,List of Commits
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDSimpleFont.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/font/PDTrueTypeFont.java","1.08efd98d756a33f941c78dbff814b4e3bf83d2eb
2.13a6761351ceac5e1408a551dfa9017680a9a457
3.1b93a8ef17a5b4d10889cdd33232f200aba3b026
4.200b100383815e85366e2b06caa6ab62c2430633
5.2183b766646fa9936cf643e3dcdf1f57daa5cd12
6.22eaa57fee479ea7b70dd034809083634ddbc532
7.371e839f53506c6a021845c39c134a311e69c340
8.3fc9550bfa1d2cdb14e3c9b95a3b1ea02dbc9e92
9.3ff1afefea573ad3bf04097d70829c78cce4b5b6
10.46a627810208bf8843ae4651ac5f6745c6ab25ec
11.46d4deab114d1a1d9b2302129cc30c24351b4706
12.4f33d5515978b17c6734e8a1ae29f5ecc3c61ba2
13.531792820b66747fcdde13631e4d3391c1d4e0fc
14.5a991df778d678d8925de8141baac0429af5a524
15.6bb9f1053893d45f2648fd7c4c582cd5ed3ba22f
16.6fb59026d40259cb40c7cfa23b79dd515723aefb
17.76adbe02a99f874580486e4d53f2cbee2c093567
18.8c266e68754e21743d80e53a112f8696503dab2e
19.902f61cd547992e7c116243b11b650a7a851ad4a
20.92c6dab416d9bbf1168e56818604da1c84db5796
21.9c2bebe7d0957fafbef35c400ea1711b965ee4b3
22.bd46b391bd0f662b7fa2ee746efe1e340c7b6190
23.bebcaba65ef3737fa12af54892268b037f4cbced
24.c408b2f6d6361f3c67bbb4b4456bd1702c8199d2
25.c733229408a6b05efb4dd907e63515997b1222df
26.c9e9d9ae5392d43c21fe820336a6ad6d4632fba5
27.d4a90eaa4f43b37f99657d08107d1c7514bd6a8e
28.d7be592bc0022cfa6fd3ffcdd5989b78bc827cb3
29.e7d4768a0ffcb548ea0885c00e7320612cce0f63
30.f4d257a73a7afa6e8b8daa002e23b1c7257c6f86
31.f6e5d535a79b72b7e5508b698431df2f8a977ed6
32.fab6df68ae4f070903f374a20e4e875b5be0531b"
"tools/src/main/java/org/apache/pdfbox/tools/PDFToImage.java
tools/src/main/java/org/apache/pdfbox/tools/PrintPDF.java","1.02b2e7a98a48724c7db81bf7601c06cade0a4830
2.083162093431a75a3b8a384e7a9fa2c3be934bdc
3.0c5973695b4aa1165d3fefbc3f8603c37ef9fb5e
4.1a8e50d58975f828a0f8680520cb18cc310f9069
5.2e32786af1b0292c0007a79d38f80bfbc4eec9ed
6.37d061dd49ee4465ecaf23b691672a7524d48c53
7.4562d94c39abbedd366d9ce1a96aa0c54a9e27fe
8.5443c8a4cf0a9d3e8df45b96671ea43f140af129
9.5546a3c7f8cd7d9995bfba7ee27a114973564042
10.558b5923ab5677758b0a9bad5206ea361324fd77
11.5b1c2487642e0c69d32a9adafa0c9a2758ea80ef
12.6aa72efe1c95a42207c2da2d68d895147fb4b55f
13.824691d125f0c760545bc35c82efe97a6b5fca3b
14.86c89e5b922706d08a81628fc1e597162ec69806
15.9396b9918f9dd9874a69ad4257de5535f2167acf
16.ab33e85db5566b69777a92ec7c9f554f40b0431f
17.b6db07d1fb19144fe49c978f884060e4f0a7dfeb
18.b74ef0fba017f9e88736c2e27aa09b80b0c931c4
19.b9c33d1a4875bc7ff377052f2ad52438a886a1e5
20.bc2a7032bf3a0f1d10d765392b12669ca9f3e7c4
21.c1259ace1fb9a3c8b9dd4bf2f2cc55c0af7be507
22.c8ccf96ccc37a28d2c460e0c82f5f2fd26ac577a
23.ca87abd5f74d37007c0a6ce26500c51f6ce0372f
24.e1292223b8c90f724bea7d9127ae4f51a48178b9
25.ef4b8ef75811124dfc22cc8a852a613b1d5f39e8
26.f83921dd0a50642c2d9f89af1584ea170ca4e742"
"pom.xml
preflight-app/pom.xml","1.0f8eaa3ddbb6859f5f241faec02b0886352ab175
2.1b58a5303f132297577d06cefd2e8178a8ad209d
3.24610377ecc4d256c68cdce9468c558984f188fb
4.273ccb5246df33c004e055cb28748b4609c0c6ea
5.325e10bfc1a769d3102501383d7aa365b5ae4707
6.35b093ffd720a8392c44bc298bd4a9b5117025ad
7.379cef94a631927168c68b58277bcd83eddc5f12
8.3b76fff978c8956f496a5fa5c0546c2844cf0a3a
9.529dfd45c3335801171973d0ee5b5551cb5c39b7
10.55493cc13e6f045cddd2f85dc84cb4f7d77aee62
11.5bfc196ac93e10515edee61c1011955a71b7170c
12.60ce0ce92f303183948cf90afdc51bed06ec7f04
13.66334010c1c38fb8170c0f24fc715961091e64b2
14.6b15405201cbba9d933b9cf9b605b9e0bf171a10
15.8530111af3bc80c9a1e666560df229bdfba7f3a8
16.a3abc5b087d4423464b4028a822021663ad54fd0
17.b74b5997d299dbbf2748894dee1b10227e434468
18.b990ce2ab370b040dee0c29511633dbc2cfd6281
19.c1be3a88fec4a77d9734d26d88ce911e0f056c86
20.c4483f820be45e95282a964c99133ac92dc066b3
21.c7512cc39d5fe3b1cb5da460d10bd0ed99d2be79
22.c95e055a2466c15ab5a7cdd1d161909c87c9055c
23.df044438681ed5f795410b3a2f5c7b38d5ae557a
24.dfb58e11aa108faef7789cac8635d176d290007a
25.e7ad7b48344814768e10f65e1d225d21f1a67340"
"tools/src/main/java/org/apache/pdfbox/tools/ExtractImages.java
tools/src/main/java/org/apache/pdfbox/tools/ExtractText.java","1.083162093431a75a3b8a384e7a9fa2c3be934bdc
2.0c5973695b4aa1165d3fefbc3f8603c37ef9fb5e
3.28c08a6152230022a208caadc887bdc86ac1885e
4.2e32786af1b0292c0007a79d38f80bfbc4eec9ed
5.37d061dd49ee4465ecaf23b691672a7524d48c53
6.5443c8a4cf0a9d3e8df45b96671ea43f140af129
7.5546a3c7f8cd7d9995bfba7ee27a114973564042
8.824691d125f0c760545bc35c82efe97a6b5fca3b
9.86c89e5b922706d08a81628fc1e597162ec69806
10.88b69fa28ce23ea1f530838182255694e44ed9cb
11.97f1d40e4e26741df25dab478436aeaf5ff0a1d1
12.a3584fbec49a67bfac97f8bddd04a4797a47a185
13.b6db07d1fb19144fe49c978f884060e4f0a7dfeb
14.b74ef0fba017f9e88736c2e27aa09b80b0c931c4
15.b9c33d1a4875bc7ff377052f2ad52438a886a1e5
16.bc2a7032bf3a0f1d10d765392b12669ca9f3e7c4
17.c1259ace1fb9a3c8b9dd4bf2f2cc55c0af7be507
18.c8a5aac01e36f369fda8cbcadb0c97ca87c41c63
19.ca87abd5f74d37007c0a6ce26500c51f6ce0372f
20.e352332567a7da5fed2b8b2e28b1f0ef7551fa04
21.ef4b8ef75811124dfc22cc8a852a613b1d5f39e8
22.f83921dd0a50642c2d9f89af1584ea170ca4e742
23.fabd5c466f4053dcff22275bf13462cbe565b359"
"tools/src/main/java/org/apache/pdfbox/tools/ImportFDF.java
tools/src/main/java/org/apache/pdfbox/tools/ImportXFDF.java","1.0c5973695b4aa1165d3fefbc3f8603c37ef9fb5e
2.1d4d4038a60b2de01e50d3116faa1aceccb60c91
3.2e32786af1b0292c0007a79d38f80bfbc4eec9ed
4.37d061dd49ee4465ecaf23b691672a7524d48c53
5.40b1ce263e9071e7f3ef63f064b5533b05bc5e1a
6.5443c8a4cf0a9d3e8df45b96671ea43f140af129
7.5546a3c7f8cd7d9995bfba7ee27a114973564042
8.861610e1b65833d6632ad3b6d0a8436f61ab9dc3
9.a3584fbec49a67bfac97f8bddd04a4797a47a185
10.b6db07d1fb19144fe49c978f884060e4f0a7dfeb
11.b74ef0fba017f9e88736c2e27aa09b80b0c931c4
12.b9c33d1a4875bc7ff377052f2ad52438a886a1e5
13.bc2a7032bf3a0f1d10d765392b12669ca9f3e7c4
14.c1259ace1fb9a3c8b9dd4bf2f2cc55c0af7be507
15.c204ba8fa13beceb6194e18074b4ba53c93150de
16.c8ccf96ccc37a28d2c460e0c82f5f2fd26ac577a
17.d5c24cbbcf81358ead5934dce01f0bae87623c42
18.e926ab6f024f49a8984c5566c13b1bdfe12ce79b
19.ef4b8ef75811124dfc22cc8a852a613b1d5f39e8
20.f83921dd0a50642c2d9f89af1584ea170ca4e742"
"pdfbox/src/main/java/org/apache/pdfbox/rendering/PDFRenderer.java
pdfbox/src/main/java/org/apache/pdfbox/rendering/PageDrawer.java","1.0080c6bce20ee37d72651d1b18f9b7db8e534baa
2.0ed82e67bec3b2f940fe2e738f878b7139dbea19
3.185fa45a8b97d50fc46ac0e8cbe8c52f0a603ec5
4.18dd7ffab57b66e80879be7edaa92c08058d6e9b
5.1a9426cca72d0eaed409898e389436d44cd62f9d
6.1cd18fe1f5ae940f8ef3126a9ccb7afca0e41fc4
7.1f56286ae2c16ecd1d57e04e9652216462f4895d
8.3e526fabd47194f9faa0042dfab92ac6cc3b41cb
9.4effb4df152adbc58cd954ee0c8f891ef095cbac
10.56f144e740557e05baeffb39501d69b5a96440dd
11.653a143eb1389d04f64d03e8bf26048e11e159bb
12.6aa72efe1c95a42207c2da2d68d895147fb4b55f
13.740926ed78c124aea4d1831afa6d465c28b7250b
14.a3e1a23afcb95ece1072f67835a99243246d7f09
15.a5f7f2f21a232988ff4453c431caf01b7be1bb20
16.a6a0de7f5605d3919463807ad4936d8da194d92c
17.da86622d3009411a564602dfd39f2a9cf06afc5b
18.fee771a7b290a517a22de5f436accb57fae88c9f"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/digitalsignature/visible/PDFTemplateCreator.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/digitalsignature/visible/PDFTemplateStructure.java","1.01c6698a401ab976d37397fdf6ce5eeb90d7dd83
2.01e62db5be0b718f5d8241030feac406436e78aa
3.13409b2e0b265acbcf20cecf40203f5cc4f3fcf7
4.185fa45a8b97d50fc46ac0e8cbe8c52f0a603ec5
5.18dd7ffab57b66e80879be7edaa92c08058d6e9b
6.195242543b1f8b6e91e525fc25576c15bab22f1b
7.2974ccd1c0b2822cdb6f6cc738e6b6bbac605f9f
8.2a262cca47ebbdcef1b2f5bb0a2269d3710720e9
9.2f3188babd3bdb5a2c25158b952164a97f9cbe50
10.4d3263ea6ca045f7dced5899e1885da2e2f8c7e3
11.65a17ac445f0961887db22143de38a04cfac0aac
12.72dd9687cc4e821455111e3f6478e6e2a66ef430
13.7a8efb034c8f99c66de18f036424a7e8a984139b
14.a803f81c7e2f795a3c55b4d457ace44ed5546187
15.c6f21256f08c03c86b911981587e9f446e8d171d
16.f6a7c49d72a1e296f215163fee372d83b501ad7e"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDPushButton.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDRadioButton.java","1.000c7c7f3b260db34f92179b1ffc3442e9124fa7
2.081b1ee0a3f05c414c51b3bd91c30c752d43e751
3.2fb329fff0900384686a387f0c7e7f8067a85ecd
4.3a0067a1104aac7cc62e27aa18cae5bc5a50cb1a
5.44dfb753eeb252112ff0619355df4809718e3f39
6.50b2f577c415e5ee0907fcae10042e6c03140738
7.564f6da02515b186c0ebbea2fef26e7c5fd28b7b
8.5caf117d278381e050b64b061079c1563e2d4910
9.72dd9687cc4e821455111e3f6478e6e2a66ef430
10.8134a67bd23b7f2c871a54577006c1b32583b8fa
11.8598a3053f9060b63506946dbb0052166b304546
12.87105d37caf0a853fc18c1a366303f2bef4adc0d
13.98efa270936bfa791ded036077dee9cf36729843
14.a042d45d2248e062b0fa315610cb39de9a9de109
15.b228353812aeaa4b7b150ddccc1604f76d3e3b87
16.da0c063edfa117c687fcbe14215edd122d48341d"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/PDShadingType4.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/PDShadingType5.java","1.172ac3e26112f6ac89bea5fb2e9ab346e1bdccba
2.28dc3413c30592f0d1c3d719f7f2f5f70d026849
3.3622975d7a4b786419908e0a43095c880fba81ab
4.5e4fcd934a91f7109515f74e45b0ffeac5a5c372
5.7dbe893777cd92fa221260af945406bed30e5228
6.87b737537fa4db17140bf6ad29e695b1fc451584
7.9915c002448d6dfdd3984a0ac0e60bb71c114fe8
8.99ec3d83b8c357a14887ca0f381c140ec87cfcb2
9.d7ede6719dc49808c5d409175b62387389b8acd2
10.dd8d976c1099248a832eba7362a9af966c1b8fb1
11.ddd80ef9a74c458446153816909e8563eaa37545
12.e90b89f24498a065be30ea67d97b7a410ea7e804
13.fc3dd3fee0d825bd9a3ef237677f17c1e44baae4"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/PatchMeshesShadingContext.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/RadialShadingContext.java","1.04503a7615a0290c8a0b59c765dd88475f27ad7d
2.09bbd8cad4bf22f4457c5ae56e80e1cff051b6fe
3.1b8173974897305421f185eddbd1fb243aa14e44
4.258711ebbe6834f72b6eddc10fa6d07552f60aec
5.3622975d7a4b786419908e0a43095c880fba81ab
6.5e4fcd934a91f7109515f74e45b0ffeac5a5c372
7.6059edc17d6e584823f3abc89efac33f4985db90
8.6745d6a850f0f23a965c45ba65670c75c97c2896
9.69d8210c866717c20592c4acc36ef2c643d2e263
10.7f25a94c0749848baf31d7c4723d9c19f3163f14
11.b242c0bde7a7544407eb9119f7465ddcf476ea1e
12.e90b89f24498a065be30ea67d97b7a410ea7e804
13.fc3dd3fee0d825bd9a3ef237677f17c1e44baae4"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDCheckbox.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/form/PDChoice.java","1.09c6eae3b8f656a0bd02c959256d47282d78ca8d
2.2fb329fff0900384686a387f0c7e7f8067a85ecd
3.44dfb753eeb252112ff0619355df4809718e3f39
4.52d29d97ddf90541ad67156094c7c977f56f3c76
5.564f6da02515b186c0ebbea2fef26e7c5fd28b7b
6.5caf117d278381e050b64b061079c1563e2d4910
7.72dd9687cc4e821455111e3f6478e6e2a66ef430
8.8134a67bd23b7f2c871a54577006c1b32583b8fa
9.8598a3053f9060b63506946dbb0052166b304546
10.98efa270936bfa791ded036077dee9cf36729843
11.b228353812aeaa4b7b150ddccc1604f76d3e3b87
12.da0c063edfa117c687fcbe14215edd122d48341d
13.e2c4dad835d32c9d55831943fa0daa37364b0006"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/image/PDImageXObject.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/image/PDInlineImage.java","1.0080c6bce20ee37d72651d1b18f9b7db8e534baa
2.1404086a4230df8d7e9ebf50ee1819b7c321886b
3.185fa45a8b97d50fc46ac0e8cbe8c52f0a603ec5
4.1a8b5badd036a994a49906b733b49ead7e8e5325
5.2974ccd1c0b2822cdb6f6cc738e6b6bbac605f9f
6.2bf3a101fdcc0e4fe23ac9fa77417cedad1f3ae8
7.649c34530ac7715663f79232e5ca85da12ce4013
8.718e2319fc92709bc6f079fb18b6bad8c50d3f04
9.9c2bebe7d0957fafbef35c400ea1711b965ee4b3
10.9d38535612f15c20fc12d309c3672e64a3b7b66a
11.c85e3d1b6c68675a56e6a47b3ea121dc4d4acb91
12.daeee5e2ebaaee092ca53f9ab7f406136b2ff071"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDPolygonAppearanceHandler.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDPolylineAppearanceHandler.java","1.1cf078be2456e8cba9ba36ec92976c738d3e790d
2.3690eba063a4bc1fa4c79a8b4536dedc60295ec5
3.40fd7d293e7889a7cf5091a40d0acb41b14f9aab
4.b5ba2d8b9b57d4627dcdd7e28318584be4c44921
5.bf1a0637a7f6539cc78b139a66ff48c77fe00c61
6.c5a904c02bdc00d64d24dfb14e8734f3d27d4466
7.c5c7663e6218d1891856bebf8987f3cf8192aa82
8.cae649aa1663f68e059881a80a03f5c29e7f205f
9.d500310351040fef8c0d29ca87f7ffbdb12ffbbb
10.d7be592bc0022cfa6fd3ffcdd5989b78bc827cb3
11.edaeb14205e3496c440bdd515632ef49d3a8530f
12.ff8e9115d1eaed1d325a4a909881b20eed96bde8"
"preflight/src/main/java/org/apache/pdfbox/preflight/font/descriptor/CIDType0DescriptorHelper.java
preflight/src/main/java/org/apache/pdfbox/preflight/font/descriptor/CIDType2DescriptorHelper.java","1.131fad28c292c3a336411ead01fbf995c9433918
2.229250daf9f2bf3795286544130a854b6a7c187b
3.23f6715bc9563483c0c48afcacfd7ee68cfd8a5c
4.2fbc31fff0d88348ea604213eb43c8006f46a760
5.49a02f4e7c6c51b405cb8809ab512bd4f9f8ed8e
6.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
7.73123f02a217da5c6b30bc97fd5e755049733ea6
8.a1813d985ac93c52ee36120044bba0f3486a1318
9.d4a90eaa4f43b37f99657d08107d1c7514bd6a8e
10.e35a9312caee420e818ad06a6134664fd86faa34
11.e52d346adfa24ac83ec71d79c02d67e14434b1a4
12.ebadf384b91923b98d8fc88e5ee3c10b01b15ea8"
"tools/src/main/java/org/apache/pdfbox/tools/DecompressObjectstreams.java
tools/src/main/java/org/apache/pdfbox/tools/Decrypt.java","1.2e32786af1b0292c0007a79d38f80bfbc4eec9ed
2.37d061dd49ee4465ecaf23b691672a7524d48c53
3.5443c8a4cf0a9d3e8df45b96671ea43f140af129
4.5546a3c7f8cd7d9995bfba7ee27a114973564042
5.88b69fa28ce23ea1f530838182255694e44ed9cb
6.a825ab4dd21db2c393a55fa5a17d22cac9848587
7.b5c0829377a43aa926edbe998d131af48344d1f7
8.b6db07d1fb19144fe49c978f884060e4f0a7dfeb
9.bc2a7032bf3a0f1d10d765392b12669ca9f3e7c4
10.c8ccf96ccc37a28d2c460e0c82f5f2fd26ac577a
11.ef4b8ef75811124dfc22cc8a852a613b1d5f39e8
12.f83921dd0a50642c2d9f89af1584ea170ca4e742"
"tools/src/main/java/org/apache/pdfbox/tools/Encrypt.java
tools/src/main/java/org/apache/pdfbox/tools/ExportFDF.java","1.2e32786af1b0292c0007a79d38f80bfbc4eec9ed
2.37d061dd49ee4465ecaf23b691672a7524d48c53
3.5443c8a4cf0a9d3e8df45b96671ea43f140af129
4.5546a3c7f8cd7d9995bfba7ee27a114973564042
5.88b69fa28ce23ea1f530838182255694e44ed9cb
6.b6db07d1fb19144fe49c978f884060e4f0a7dfeb
7.b74ef0fba017f9e88736c2e27aa09b80b0c931c4
8.bc2a7032bf3a0f1d10d765392b12669ca9f3e7c4
9.c1259ace1fb9a3c8b9dd4bf2f2cc55c0af7be507
10.e352332567a7da5fed2b8b2e28b1f0ef7551fa04
11.ef4b8ef75811124dfc22cc8a852a613b1d5f39e8
12.f83921dd0a50642c2d9f89af1584ea170ca4e742"
