List of Changed Files,List of Commits
"fontbox/src/main/java/org/apache/fontbox/ttf/GlyphTable.java
fontbox/src/main/java/org/apache/fontbox/ttf/HeaderTable.java
fontbox/src/main/java/org/apache/fontbox/ttf/HorizontalHeaderTable.java
fontbox/src/main/java/org/apache/fontbox/ttf/HorizontalMetricsTable.java
fontbox/src/main/java/org/apache/fontbox/ttf/IndexToLocationTable.java","1.0faacab9509fa0c2b407f8efb4ef018ef7bdd499
2.1525dcf9886f8964b8fbaec4a55ac8a37751d6be
3.4e2471f8de2d0c9dcb07ee5c32c1253dda7125dc
4.73d8c8543e27261c85a40a7ce4b8b94f3980e1dd
5.7a35c1a2414fd092aa627e1dc37fe01960997e02
6.84d34938609ea71c5f1cbde2ce45a03370ceaa69
7.b0e9c528bae2527684464b4985bb66a6982e0a72"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/PDShadingType3.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/PDShadingType4.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/PDShadingType5.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/PDShadingType6.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/PDShadingType7.java","1.172ac3e26112f6ac89bea5fb2e9ab346e1bdccba
2.5e4fcd934a91f7109515f74e45b0ffeac5a5c372
3.dd8d976c1099248a832eba7362a9af966c1b8fb1
4.ddd80ef9a74c458446153816909e8563eaa37545
5.e90b89f24498a065be30ea67d97b7a410ea7e804"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDHighlightAppearanceHandler.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDInkAppearanceHandler.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLineAppearanceHandler.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDLinkAppearanceHandler.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/annotation/handlers/PDPolygonAppearanceHandler.java","1.1cf078be2456e8cba9ba36ec92976c738d3e790d
2.b5ba2d8b9b57d4627dcdd7e28318584be4c44921
3.bf1a0637a7f6539cc78b139a66ff48c77fe00c61
4.c5a904c02bdc00d64d24dfb14e8734f3d27d4466
5.d7be592bc0022cfa6fd3ffcdd5989b78bc827cb3"
"preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestGotoRemoteAction.java
preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestHideAction.java
preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestNamedAction.java
preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestSubmitAction.java
preflight/src/test/java/org/apache/pdfbox/preflight/action/pdfa1b/TestThreadAction.java","1.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
2.90cd3190ea8f3c4d99636693df7e1e998bf8c1bf
3.91bb9040f078f1511e045e2ab93316a55d9e4066
4.a1813d985ac93c52ee36120044bba0f3486a1318
5.e9a7fcbc94d2327a8107d588b92a62c6d4fa9d31"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/TriangleBasedShadingContext.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type1ShadingContext.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type1ShadingPaint.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type4ShadingContext.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type4ShadingPaint.java","1.5e4fcd934a91f7109515f74e45b0ffeac5a5c372
2.b242c0bde7a7544407eb9119f7465ddcf476ea1e
3.e90b89f24498a065be30ea67d97b7a410ea7e804
4.fc3dd3fee0d825bd9a3ef237677f17c1e44baae4"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type5ShadingContext.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type5ShadingPaint.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type6ShadingContext.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type6ShadingPaint.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/graphics/shading/Type7ShadingContext.java","1.4c3253c8ac6d55f0834cf41be3566248e57867d4
2.5e4fcd934a91f7109515f74e45b0ffeac5a5c372
3.b242c0bde7a7544407eb9119f7465ddcf476ea1e
4.fc3dd3fee0d825bd9a3ef237677f17c1e44baae4"
"pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/digitalsignature/visible/PDFTemplateCreator.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/digitalsignature/visible/PDFTemplateStructure.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/digitalsignature/visible/PDVisibleSigBuilder.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/digitalsignature/visible/PDVisibleSigProperties.java
pdfbox/src/main/java/org/apache/pdfbox/pdmodel/interactive/digitalsignature/visible/PDVisibleSignDesigner.java","1.18dd7ffab57b66e80879be7edaa92c08058d6e9b
2.2a262cca47ebbdcef1b2f5bb0a2269d3710720e9
3.2f3188babd3bdb5a2c25158b952164a97f9cbe50
4.4d3263ea6ca045f7dced5899e1885da2e2f8c7e3"
"pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/CurveToReplicateFinalPoint.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/CurveToReplicateInitialPoint.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/EndPath.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/FillEvenOddAndStrokePath.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/FillEvenOddRule.java","1.200b100383815e85366e2b06caa6ab62c2430633
2.5c3f4dc4aed8317b43c618ec228cd9ae0ae79e75
3.64b348544cd4c5c215eefb58c7b5a16ada04c9a8
4.6aa72efe1c95a42207c2da2d68d895147fb4b55f"
"pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/FillNonZeroAndStrokePath.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/FillNonZeroRule.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/Invoke.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/LineTo.java
pdfbox/src/main/java/org/apache/pdfbox/util/operator/pagedrawer/MoveTo.java","1.200b100383815e85366e2b06caa6ab62c2430633
2.5c3f4dc4aed8317b43c618ec228cd9ae0ae79e75
3.64b348544cd4c5c215eefb58c7b5a16ada04c9a8
4.6aa72efe1c95a42207c2da2d68d895147fb4b55f"
"preflight/src/main/java/org/apache/pdfbox/preflight/annotation/LineAnnotationValidator.java
preflight/src/main/java/org/apache/pdfbox/preflight/annotation/LinkAnnotationValidator.java
preflight/src/main/java/org/apache/pdfbox/preflight/annotation/MarkupAnnotationValidator.java
preflight/src/main/java/org/apache/pdfbox/preflight/annotation/PopupAnnotationValidator.java
preflight/src/main/java/org/apache/pdfbox/preflight/annotation/PrintMarkAnnotationValidator.java","1.5436ef8c80cf8c50c00be0fb750ddb1fc0c99e5f
2.8ef145c78640974fccbc665cd8e5225a0c9ee326
3.9727dd884ae6068195cc51cd407c3325f0b5aab9
4.a1813d985ac93c52ee36120044bba0f3486a1318"
